,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
SANANTONIO,2000Q4,"$93,948","$77,650","$16,298",17.3%,1.021,1.088
SANANTONIO,2001Q1,"$95,308","$78,349","$16,959",17.8%,1.036,1.141
SANANTONIO,2001Q2,"$96,214","$79,101","$17,114",17.8%,1.046,1.156
SANANTONIO,2001Q3,"$97,123","$79,846","$17,278",17.8%,1.055,1.172
SANANTONIO,2001Q4,"$97,966","$80,477","$17,489",17.9%,1.065,1.191
SANANTONIO,2002Q1,"$99,198","$80,895","$18,303",18.5%,1.078,1.249
SANANTONIO,2002Q2,"$100,418","$81,187","$19,230",19.2%,1.091,1.317
SANANTONIO,2002Q3,"$101,607","$81,394","$20,212",19.9%,1.104,1.389
SANANTONIO,2002Q4,"$102,874","$81,579","$21,295",20.7%,1.118,1.468
SANANTONIO,2003Q1,"$104,018","$81,825","$22,193",21.3%,1.130,1.536
SANANTONIO,2003Q2,"$104,979","$82,301","$22,678",21.6%,1.141,1.575
SANANTONIO,2003Q3,"$106,134","$83,202","$22,932",21.6%,1.153,1.599
SANANTONIO,2003Q4,"$107,307","$84,717","$22,589",21.1%,1.166,1.580
SANANTONIO,2004Q1,"$108,399","$86,956","$21,442",19.8%,1.178,1.506
SANANTONIO,2004Q2,"$109,760","$89,653","$20,107",18.3%,1.193,1.417
SANANTONIO,2004Q3,"$111,036","$92,475","$18,562",16.7%,1.207,1.313
SANANTONIO,2004Q4,"$112,246","$95,082","$17,165",15.3%,1.220,1.218
SANANTONIO,2005Q1,"$114,246","$97,203","$17,043",14.9%,1.241,1.211
SANANTONIO,2005Q2,"$116,895","$98,968","$17,928",15.3%,1.270,1.279
SANANTONIO,2005Q3,"$119,462","$100,517","$18,945",15.9%,1.298,1.357
SANANTONIO,2005Q4,"$122,493","$102,015","$20,478",16.7%,1.331,1.473
SANANTONIO,2006Q1,"$125,126","$103,594","$21,533",17.2%,1.360,1.558
SANANTONIO,2006Q2,"$127,451","$105,132","$22,319",17.5%,1.385,1.623
SANANTONIO,2006Q3,"$130,520","$106,542","$23,978",18.4%,1.418,1.753
SANANTONIO,2006Q4,"$133,244","$107,704","$25,540",19.2%,1.448,1.877
SANANTONIO,2007Q1,"$135,870","$108,596","$27,274",20.1%,1.476,2.016
SANANTONIO,2007Q2,"$137,199","$109,382","$27,818",20.3%,1.491,2.067
SANANTONIO,2007Q3,"$137,561","$110,377","$27,184",19.8%,1.495,2.029
SANANTONIO,2007Q4,"$137,808","$111,881","$25,928",18.8%,1.498,1.943
SANANTONIO,2008Q1,"$137,498","$114,046","$23,452",17.1%,1.494,1.764
SANANTONIO,2008Q2,"$136,106","$116,465","$19,642",14.4%,1.479,1.482
SANANTONIO,2008Q3,"$135,290","$118,595","$16,695",12.3%,1.470,1.263
SANANTONIO,2008Q4,"$133,397","$119,888","$13,509",10.1%,1.450,1.024
SANANTONIO,2009Q1,"$132,059","$119,986","$12,073",9.1%,1.435,0.917
SANANTONIO,2009Q2,"$132,252","$119,280","$12,972",9.8%,1.437,0.987
SANANTONIO,2009Q3,"$132,766","$118,329","$14,437",10.9%,1.443,1.101
SANANTONIO,2009Q4,"$133,508","$117,692","$15,816",11.8%,1.451,1.209
SANANTONIO,2010Q1,"$133,397","$117,777","$15,619",11.7%,1.450,1.194
SANANTONIO,2010Q2,"$133,462","$118,584","$14,878",11.1%,1.450,1.140
SANANTONIO,2010Q3,"$132,414","$119,896","$12,518",9.5%,1.439,0.962
SANANTONIO,2010Q4,"$131,286","$121,527","$9,759",7.4%,1.427,0.751
SANANTONIO,2011Q1,"$131,781","$123,316","$8,465",6.4%,1.432,0.654
SANANTONIO,2011Q2,"$131,458","$124,885","$6,573",5.0%,1.429,0.493
SANANTONIO,2011Q3,"$131,254","$124,692","$6,563",5.0%,1.426,0.492
SANANTONIO,2011Q4,"$131,787","$125,198","$6,589",5.0%,1.432,0.494
SANANTONIO,2012Q1,"$133,152","$126,104","$7,048",5.3%,1.447,0.528
SANANTONIO,2012Q2,"$134,816","$126,761","$8,055",6.0%,1.465,0.605
SANANTONIO,2012Q3,"$136,388","$127,352","$9,036",6.6%,1.482,0.680
SANANTONIO,2012Q4,"$138,193","$128,060","$10,133",7.3%,1.502,0.764
SANANTONIO,2013Q1,"$139,814","$129,015","$10,799",7.7%,1.519,0.816
SANANTONIO,2013Q2,"$142,394","$130,127","$12,267",8.6%,1.547,0.929
SANANTONIO,2013Q3,"$145,061","$131,255","$13,806",9.5%,1.576,1.049
SANANTONIO,2013Q4,"$147,187","$132,252","$14,935",10.1%,1.599,1.138
SANANTONIO,2014Q1,"$148,995","$133,005","$15,991",10.7%,1.619,1.221
SANANTONIO,2014Q2,"$150,943","$133,550","$17,392",11.5%,1.640,1.332
SANANTONIO,2014Q3,"$153,448","$133,951","$19,497",12.7%,1.667,1.498
SANANTONIO,2014Q4,"$156,542","$134,273","$22,269",14.2%,1.701,1.716
SANANTONIO,2015Q1,"$159,554","$134,565","$24,989",15.7%,1.734,1.932
SANANTONIO,2015Q2,"$162,033","$134,879","$27,154",16.8%,1.761,2.107
SANANTONIO,2015Q3,"$164,580","$135,243","$29,337",17.8%,1.788,2.285
SANANTONIO,2015Q4,"$166,991","$135,690","$31,301",18.7%,1.815,2.447
SANANTONIO,2016Q1,"$169,654","$136,280","$33,375",19.7%,1.844,2.622
SANANTONIO,2016Q2,"$172,129","$136,892","$35,236",20.5%,1.870,2.778
SANANTONIO,2016Q3,"$175,651","$137,523","$38,128",21.7%,1.909,3.016
SANANTONIO,2016Q4,"$178,579","$138,123","$40,456",22.7%,1.941,3.210
SANANTONIO,2017Q1,"$182,127","$138,603","$43,525",23.9%,1.979,3.459
SANANTONIO,2017Q2,"$185,565","$139,102","$46,463",25.0%,2.016,3.703
SANANTONIO,2017Q3,"$187,438","$139,577","$47,861",25.5%,2.037,3.826
SANANTONIO,2017Q4,"$190,457","$140,052","$50,404",26.5%,2.070,4.043
SANANTONIO,2018Q1,"$192,966","$142,442","$50,524",26.2%,2.097,4.066
SANANTONIO,2018Q2,"$195,532","$144,952","$50,579",25.9%,2.125,4.085
SANBERNADINO,1984Q4,"$113,193","$51,359","$61,834",54.6%,0.627,0.554
SANBERNADINO,1985Q1,"$114,101","$52,499","$61,602",54.0%,0.632,0.557
SANBERNADINO,1985Q2,"$114,332","$53,623","$60,709",53.1%,0.634,0.554
SANBERNADINO,1985Q3,"$115,788","$54,722","$61,066",52.7%,0.642,0.562
SANBERNADINO,1985Q4,"$116,709","$55,745","$60,965",52.2%,0.647,0.567
SANBERNADINO,1986Q1,"$118,151","$56,623","$61,528",52.1%,0.655,0.577
SANBERNADINO,1986Q2,"$120,104","$57,487","$62,618",52.1%,0.666,0.593
SANBERNADINO,1986Q3,"$122,001","$58,346","$63,655",52.2%,0.676,0.609
SANBERNADINO,1986Q4,"$124,048","$59,252","$64,796",52.2%,0.688,0.627
SANBERNADINO,1987Q1,"$126,204","$60,234","$65,969",52.3%,0.700,0.645
SANBERNADINO,1987Q2,"$128,145","$61,321","$66,824",52.1%,0.710,0.661
SANBERNADINO,1987Q3,"$129,601","$62,482","$67,120",51.8%,0.718,0.672
SANBERNADINO,1987Q4,"$131,747","$63,711","$68,037",51.6%,0.730,0.689
SANBERNADINO,1988Q1,"$134,104","$64,999","$69,104",51.5%,0.743,0.708
SANBERNADINO,1988Q2,"$137,198","$66,330","$70,869",51.7%,0.761,0.736
SANBERNADINO,1988Q3,"$141,467","$67,697","$73,770",52.1%,0.784,0.776
SANBERNADINO,1988Q4,"$147,538","$69,101","$78,437",53.2%,0.818,0.836
SANBERNADINO,1989Q1,"$153,861","$70,641","$83,220",54.1%,0.853,0.900
SANBERNADINO,1989Q2,"$161,703","$72,090","$89,613",55.4%,0.896,0.981
SANBERNADINO,1989Q3,"$169,167","$73,581","$95,586",56.5%,0.938,1.060
SANBERNADINO,1989Q4,"$175,885","$75,134","$100,751",57.3%,0.975,1.131
SANBERNADINO,1990Q1,"$180,655","$77,029","$103,626",57.4%,1.001,1.180
SANBERNADINO,1990Q2,"$182,986","$78,547","$104,440",57.1%,1.014,1.202
SANBERNADINO,1990Q3,"$183,659","$79,948","$103,711",56.5%,1.018,1.204
SANBERNADINO,1990Q4,"$182,284","$81,206","$101,077",55.5%,1.010,1.183
SANBERNADINO,1991Q1,"$181,025","$82,098","$98,927",54.6%,1.003,1.163
SANBERNADINO,1991Q2,"$179,940","$83,159","$96,781",53.8%,0.997,1.145
SANBERNADINO,1991Q3,"$178,389","$84,181","$94,208",52.8%,0.989,1.121
SANBERNADINO,1991Q4,"$178,644","$85,185","$93,459",52.3%,0.990,1.119
SANBERNADINO,1992Q1,"$178,774","$86,445","$92,329",51.6%,0.991,1.115
SANBERNADINO,1992Q2,"$176,214","$87,307","$88,907",50.5%,0.977,1.078
SANBERNADINO,1992Q3,"$173,976","$88,032","$85,944",49.4%,0.964,1.045
SANBERNADINO,1992Q4,"$171,676","$88,612","$83,063",48.4%,0.952,1.011
SANBERNADINO,1993Q1,"$167,042","$88,693","$78,349",46.9%,0.926,0.950
SANBERNADINO,1993Q2,"$163,691","$89,152","$74,540",45.5%,0.907,0.904
SANBERNADINO,1993Q3,"$159,669","$89,654","$70,015",43.9%,0.885,0.850
SANBERNADINO,1993Q4,"$156,907","$90,221","$66,686",42.5%,0.870,0.810
SANBERNADINO,1994Q1,"$154,438","$90,852","$63,587",41.2%,0.856,0.774
SANBERNADINO,1994Q2,"$152,730","$91,539","$61,192",40.1%,0.847,0.747
SANBERNADINO,1994Q3,"$150,751","$92,218","$58,534",38.8%,0.836,0.716
SANBERNADINO,1994Q4,"$148,832","$92,837","$55,995",37.6%,0.825,0.687
SANBERNADINO,1995Q1,"$147,596","$93,491","$54,105",36.7%,0.818,0.668
SANBERNADINO,1995Q2,"$145,169","$93,919","$51,249",35.3%,0.805,0.635
SANBERNADINO,1995Q3,"$144,180","$94,314","$49,866",34.6%,0.799,0.620
SANBERNADINO,1995Q4,"$142,931","$94,738","$48,193",33.7%,0.792,0.601
SANBERNADINO,1996Q1,"$142,677","$95,151","$47,526",33.3%,0.791,0.593
SANBERNADINO,1996Q2,"$142,491","$95,710","$46,781",32.8%,0.790,0.585
SANBERNADINO,1996Q3,"$142,364","$96,267","$46,098",32.4%,0.789,0.578
SANBERNADINO,1996Q4,"$141,926","$96,753","$45,173",31.8%,0.787,0.569
SANBERNADINO,1997Q1,"$141,727","$97,125","$44,602",31.5%,0.786,0.564
SANBERNADINO,1997Q2,"$142,084","$97,459","$44,625",31.4%,0.788,0.566
SANBERNADINO,1997Q3,"$143,071","$97,844","$45,228",31.6%,0.793,0.576
SANBERNADINO,1997Q4,"$145,027","$98,374","$46,653",32.2%,0.804,0.597
SANBERNADINO,1998Q1,"$147,395","$99,148","$48,247",32.7%,0.817,0.621
SANBERNADINO,1998Q2,"$150,998","$100,013","$50,985",33.8%,0.837,0.660
SANBERNADINO,1998Q3,"$154,432","$100,901","$53,531",34.7%,0.856,0.696
SANBERNADINO,1998Q4,"$158,147","$101,709","$56,438",35.7%,0.877,0.738
SANBERNADINO,1999Q1,"$161,975","$102,412","$59,563",36.8%,0.898,0.783
SANBERNADINO,1999Q2,"$165,714","$102,969","$62,745",37.9%,0.919,0.829
SANBERNADINO,1999Q3,"$168,846","$103,520","$65,327",38.7%,0.936,0.867
SANBERNADINO,1999Q4,"$172,064","$104,165","$67,899",39.5%,0.954,0.905
SANBERNADINO,2000Q1,"$176,505","$104,762","$71,743",40.6%,0.978,0.957
SANBERNADINO,2000Q2,"$180,398","$105,810","$74,588",41.3%,1.000,1.000
SANBERNADINO,2000Q3,"$184,404","$107,035","$77,368",42.0%,1.022,1.043
SANBERNADINO,2000Q4,"$189,420","$108,391","$81,029",42.8%,1.050,1.100
SANBERNADINO,2001Q1,"$194,856","$110,168","$84,688",43.5%,1.080,1.163
SANBERNADINO,2001Q2,"$199,184","$111,592","$87,592",44.0%,1.104,1.212
SANBERNADINO,2001Q3,"$203,973","$113,010","$90,964",44.6%,1.131,1.267
SANBERNADINO,2001Q4,"$209,493","$114,447","$95,046",45.4%,1.161,1.332
SANBERNADINO,2002Q1,"$216,384","$115,661","$100,722",46.5%,1.199,1.416
SANBERNADINO,2002Q2,"$224,991","$117,152","$107,838",47.9%,1.247,1.524
SANBERNADINO,2002Q3,"$235,370","$118,585","$116,786",49.6%,1.305,1.661
SANBERNADINO,2002Q4,"$246,343","$119,831","$126,512",51.4%,1.366,1.812
SANBERNADINO,2003Q1,"$257,675","$121,035","$136,640",53.0%,1.428,1.973
SANBERNADINO,2003Q2,"$268,111","$122,100","$146,010",54.5%,1.486,2.122
SANBERNADINO,2003Q3,"$282,287","$123,647","$158,641",56.2%,1.565,2.321
SANBERNADINO,2003Q4,"$300,446","$126,120","$174,325",58.0%,1.665,2.567
SANBERNADINO,2004Q1,"$321,020","$129,866","$191,154",59.5%,1.780,2.832
SANBERNADINO,2004Q2,"$347,662","$134,462","$213,200",61.3%,1.927,3.178
SANBERNADINO,2004Q3,"$371,895","$139,444","$232,451",62.5%,2.062,3.484
SANBERNADINO,2004Q4,"$390,813","$144,280","$246,533",63.1%,2.166,3.714
SANBERNADINO,2005Q1,"$408,687","$148,523","$260,165",63.7%,2.265,3.939
SANBERNADINO,2005Q2,"$427,764","$152,389","$275,375",64.4%,2.371,4.189
SANBERNADINO,2005Q3,"$448,486","$156,025","$292,461",65.2%,2.486,4.470
SANBERNADINO,2005Q4,"$465,702","$159,609","$306,093",65.7%,2.582,4.700
SANBERNADINO,2006Q1,"$477,555","$163,306","$314,249",65.8%,2.647,4.847
SANBERNADINO,2006Q2,"$479,685","$166,888","$312,797",65.2%,2.659,4.845
SANBERNADINO,2006Q3,"$474,158","$170,228","$303,930",64.1%,2.628,4.727
SANBERNADINO,2006Q4,"$468,587","$173,189","$295,398",63.0%,2.598,4.612
SANBERNADINO,2007Q1,"$468,997","$175,991","$293,006",62.5%,2.600,4.596
SANBERNADINO,2007Q2,"$458,158","$178,239","$279,919",61.1%,2.540,4.405
SANBERNADINO,2007Q3,"$430,214","$180,522","$249,692",58.0%,2.385,3.940
SANBERNADINO,2007Q4,"$392,969","$183,225","$209,744",53.4%,2.178,3.317
SANBERNADINO,2008Q1,"$352,149","$186,448","$165,701",47.1%,1.952,2.623
SANBERNADINO,2008Q2,"$314,735","$190,087","$124,648",39.6%,1.745,1.976
SANBERNADINO,2008Q3,"$286,660","$193,391","$93,268",32.5%,1.589,1.481
SANBERNADINO,2008Q4,"$264,321","$195,736","$68,585",25.9%,1.465,1.090
SANBERNADINO,2009Q1,"$246,141","$196,649","$49,492",20.1%,1.364,0.787
SANBERNADINO,2009Q2,"$237,438","$196,577","$40,862",17.2%,1.316,0.651
SANBERNADINO,2009Q3,"$241,230","$196,038","$45,193",18.7%,1.337,0.721
SANBERNADINO,2009Q4,"$247,147","$195,568","$51,578",20.9%,1.370,0.824
SANBERNADINO,2010Q1,"$249,928","$195,558","$54,369",21.8%,1.385,0.870
SANBERNADINO,2010Q2,"$250,181","$196,197","$53,984",21.6%,1.387,0.866
SANBERNADINO,2010Q3,"$247,501","$197,419","$50,081",20.2%,1.372,0.806
SANBERNADINO,2010Q4,"$244,406","$199,214","$45,191",18.5%,1.355,0.729
SANBERNADINO,2011Q1,"$241,679","$201,602","$40,077",16.6%,1.340,0.651
SANBERNADINO,2011Q2,"$236,863","$204,064","$32,799",13.8%,1.313,0.534
SANBERNADINO,2011Q3,"$232,996","$206,347","$26,649",11.4%,1.292,0.435
SANBERNADINO,2011Q4,"$231,968","$208,116","$23,852",10.3%,1.286,0.390
SANBERNADINO,2012Q1,"$232,721","$209,135","$23,586",10.1%,1.290,0.386
SANBERNADINO,2012Q2,"$237,456","$209,740","$27,716",11.7%,1.316,0.455
SANBERNADINO,2012Q3,"$244,638","$210,327","$34,311",14.0%,1.356,0.564
SANBERNADINO,2012Q4,"$256,204","$211,316","$44,888",17.5%,1.420,0.739
SANBERNADINO,2013Q1,"$271,034","$212,991","$58,044",21.4%,1.502,0.958
SANBERNADINO,2013Q2,"$290,257","$215,124","$75,133",25.9%,1.609,1.243
SANBERNADINO,2013Q3,"$308,750","$217,343","$91,407",29.6%,1.711,1.515
SANBERNADINO,2013Q4,"$320,298","$219,262","$101,036",31.5%,1.776,1.678
SANBERNADINO,2014Q1,"$330,966","$220,608","$110,358",33.3%,1.835,1.836
SANBERNADINO,2014Q2,"$336,197","$221,547","$114,650",34.1%,1.864,1.912
SANBERNADINO,2014Q3,"$340,316","$222,329","$117,987",34.7%,1.886,1.971
SANBERNADINO,2014Q4,"$344,574","$223,214","$121,360",35.2%,1.910,2.031
SANBERNADINO,2015Q1,"$350,401","$224,350","$126,051",36.0%,1.942,2.112
SANBERNADINO,2015Q2,"$356,031","$225,988","$130,043",36.5%,1.974,2.183
SANBERNADINO,2015Q3,"$361,385","$228,082","$133,303",36.9%,2.003,2.243
SANBERNADINO,2015Q4,"$367,587","$230,666","$136,921",37.2%,2.038,2.310
SANBERNADINO,2016Q1,"$373,193","$233,902","$139,291",37.3%,2.069,2.360
SANBERNADINO,2016Q2,"$378,322","$237,055","$141,266",37.3%,2.097,2.399
SANBERNADINO,2016Q3,"$383,584","$239,985","$143,599",37.4%,2.126,2.443
SANBERNADINO,2016Q4,"$390,637","$242,361","$148,276",38.0%,2.165,2.527
SANBERNADINO,2017Q1,"$399,064","$243,737","$155,327",38.9%,2.212,2.647
SANBERNADINO,2017Q2,"$406,940","$244,712","$162,228",39.9%,2.256,2.769
SANBERNADINO,2017Q3,"$416,645","$245,306","$171,339",41.1%,2.310,2.929
SANBERNADINO,2017Q4,"$425,906","$245,732","$180,174",42.3%,2.361,3.086
SANBERNADINO,2018Q1,"$436,004","$249,998","$186,007",42.7%,2.417,3.193
SANBERNADINO,2018Q2,"$440,739","$254,490","$186,249",42.3%,2.443,3.204
SANDIEGO,1984Q4,"$141,960","$46,378","$95,582",67.3%,0.449,0.354
SANDIEGO,1985Q1,"$143,804","$47,257","$96,547",67.1%,0.455,0.359
SANDIEGO,1985Q2,"$144,889","$48,160","$96,729",66.8%,0.458,0.362
SANDIEGO,1985Q3,"$147,270","$49,084","$98,186",66.7%,0.466,0.370
SANDIEGO,1985Q4,"$148,439","$50,012","$98,427",66.3%,0.469,0.373
SANDIEGO,1986Q1,"$150,134","$50,989","$99,145",66.0%,0.475,0.378
SANDIEGO,1986Q2,"$152,850","$51,900","$100,950",66.0%,0.483,0.387
SANDIEGO,1986Q3,"$156,138","$52,805","$103,334",66.2%,0.494,0.399
SANDIEGO,1986Q4,"$159,420","$53,707","$105,714",66.3%,0.504,0.411
SANDIEGO,1987Q1,"$162,645","$54,520","$108,125",66.5%,0.514,0.422
SANDIEGO,1987Q2,"$166,380","$55,481","$110,899",66.7%,0.526,0.436
SANDIEGO,1987Q3,"$169,328","$56,508","$112,821",66.6%,0.535,0.446
SANDIEGO,1987Q4,"$173,554","$57,622","$115,932",66.8%,0.549,0.462
SANDIEGO,1988Q1,"$178,654","$58,980","$119,675",67.0%,0.565,0.480
SANDIEGO,1988Q2,"$181,544","$60,212","$121,331",66.8%,0.574,0.491
SANDIEGO,1988Q3,"$192,580","$61,485","$131,095",68.1%,0.609,0.534
SANDIEGO,1988Q4,"$201,896","$62,759","$139,138",68.9%,0.638,0.570
SANDIEGO,1989Q1,"$214,643","$64,217","$150,426",70.1%,0.679,0.621
SANDIEGO,1989Q2,"$227,016","$65,418","$161,598",71.2%,0.718,0.671
SANDIEGO,1989Q3,"$236,086","$66,537","$169,549",71.8%,0.746,0.707
SANDIEGO,1989Q4,"$244,057","$67,582","$176,475",72.3%,0.772,0.739
SANDIEGO,1990Q1,"$249,570","$68,396","$181,174",72.6%,0.789,0.761
SANDIEGO,1990Q2,"$252,606","$69,335","$183,271",72.6%,0.799,0.772
SANDIEGO,1990Q3,"$251,732","$70,222","$181,509",72.1%,0.796,0.767
SANDIEGO,1990Q4,"$249,226","$71,042","$178,184",71.5%,0.788,0.755
SANDIEGO,1991Q1,"$243,369","$71,610","$171,758",70.6%,0.770,0.729
SANDIEGO,1991Q2,"$240,410","$72,344","$168,066",69.9%,0.760,0.715
SANDIEGO,1991Q3,"$241,462","$73,090","$168,372",69.7%,0.763,0.718
SANDIEGO,1991Q4,"$240,234","$73,847","$166,387",69.3%,0.760,0.712
SANDIEGO,1992Q1,"$237,944","$75,177","$162,767",68.4%,0.752,0.701
SANDIEGO,1992Q2,"$236,882","$75,754","$161,128",68.0%,0.749,0.695
SANDIEGO,1992Q3,"$233,777","$76,146","$157,631",67.4%,0.739,0.680
SANDIEGO,1992Q4,"$229,531","$76,368","$153,164",66.7%,0.726,0.660
SANDIEGO,1993Q1,"$227,271","$75,755","$151,516",66.7%,0.719,0.649
SANDIEGO,1993Q2,"$222,603","$75,917","$146,686",65.9%,0.704,0.627
SANDIEGO,1993Q3,"$219,095","$76,161","$142,934",65.2%,0.693,0.611
SANDIEGO,1993Q4,"$218,839","$76,465","$142,374",65.1%,0.692,0.608
SANDIEGO,1994Q1,"$218,554","$76,897","$141,657",64.8%,0.691,0.606
SANDIEGO,1994Q2,"$218,869","$77,299","$141,569",64.7%,0.692,0.606
SANDIEGO,1994Q3,"$218,613","$77,778","$140,835",64.4%,0.691,0.603
SANDIEGO,1994Q4,"$216,824","$78,362","$138,463",63.9%,0.686,0.594
SANDIEGO,1995Q1,"$215,429","$79,197","$136,231",63.2%,0.681,0.586
SANDIEGO,1995Q2,"$213,798","$79,955","$133,843",62.6%,0.676,0.577
SANDIEGO,1995Q3,"$212,687","$80,720","$131,967",62.0%,0.673,0.569
SANDIEGO,1995Q4,"$211,901","$81,454","$130,447",61.6%,0.670,0.564
SANDIEGO,1996Q1,"$211,970","$82,003","$129,967",61.3%,0.670,0.562
SANDIEGO,1996Q2,"$211,891","$82,639","$129,252",61.0%,0.670,0.560
SANDIEGO,1996Q3,"$211,115","$83,234","$127,881",60.6%,0.668,0.556
SANDIEGO,1996Q4,"$212,471","$83,784","$128,687",60.6%,0.672,0.561
SANDIEGO,1997Q1,"$214,515","$84,349","$130,166",60.7%,0.678,0.569
SANDIEGO,1997Q2,"$216,982","$84,879","$132,103",60.9%,0.686,0.579
SANDIEGO,1997Q3,"$220,932","$85,512","$135,420",61.3%,0.699,0.596
SANDIEGO,1997Q4,"$227,035","$86,342","$140,693",62.0%,0.718,0.622
SANDIEGO,1998Q1,"$235,742","$87,517","$148,226",62.9%,0.745,0.658
SANDIEGO,1998Q2,"$244,921","$88,776","$156,145",63.8%,0.774,0.695
SANDIEGO,1998Q3,"$254,002","$90,101","$163,901",64.5%,0.803,0.733
SANDIEGO,1998Q4,"$260,252","$91,380","$168,872",64.9%,0.823,0.758
SANDIEGO,1999Q1,"$268,517","$92,754","$175,763",65.5%,0.849,0.792
SANDIEGO,1999Q2,"$274,826","$93,723","$181,103",65.9%,0.869,0.819
SANDIEGO,1999Q3,"$282,826","$94,548","$188,278",66.6%,0.894,0.853
SANDIEGO,1999Q4,"$292,034","$95,274","$196,761",67.4%,0.923,0.894
SANDIEGO,2000Q1,"$302,294","$95,272","$207,022",68.5%,0.956,0.939
SANDIEGO,2000Q2,"$316,259","$96,191","$220,068",69.6%,1.000,1.000
SANDIEGO,2000Q3,"$328,878","$97,410","$231,468",70.4%,1.040,1.055
SANDIEGO,2000Q4,"$339,718","$98,974","$240,744",70.9%,1.074,1.101
SANDIEGO,2001Q1,"$355,127","$101,903","$253,224",71.3%,1.123,1.168
SANDIEGO,2001Q2,"$365,741","$103,813","$261,928",71.6%,1.156,1.213
SANDIEGO,2001Q3,"$371,618","$105,566","$266,052",71.6%,1.175,1.236
SANDIEGO,2001Q4,"$380,806","$107,087","$273,720",71.9%,1.204,1.275
SANDIEGO,2002Q1,"$388,423","$107,824","$280,598",72.2%,1.228,1.307
SANDIEGO,2002Q2,"$407,174","$108,869","$298,305",73.3%,1.287,1.391
SANDIEGO,2002Q3,"$429,079","$109,734","$319,345",74.4%,1.357,1.491
SANDIEGO,2002Q4,"$450,916","$110,375","$340,541",75.5%,1.426,1.593
SANDIEGO,2003Q1,"$467,298","$110,875","$356,423",76.3%,1.478,1.669
SANDIEGO,2003Q2,"$479,465","$111,379","$368,086",76.8%,1.516,1.726
SANDIEGO,2003Q3,"$500,162","$112,319","$387,843",77.5%,1.581,1.820
SANDIEGO,2003Q4,"$533,939","$114,069","$419,870",78.6%,1.688,1.973
SANDIEGO,2004Q1,"$570,350","$116,802","$453,547",79.5%,1.803,2.132
SANDIEGO,2004Q2,"$621,807","$120,304","$501,502",80.7%,1.966,2.359
SANDIEGO,2004Q3,"$663,338","$124,030","$539,307",81.3%,2.097,2.538
SANDIEGO,2004Q4,"$684,319","$127,481","$556,838",81.4%,2.164,2.622
SANDIEGO,2005Q1,"$703,316","$130,162","$573,154",81.5%,2.224,2.700
SANDIEGO,2005Q2,"$714,736","$132,502","$582,233",81.5%,2.260,2.743
SANDIEGO,2005Q3,"$723,276","$134,626","$588,649",81.4%,2.287,2.775
SANDIEGO,2005Q4,"$734,243","$136,788","$597,455",81.4%,2.322,2.818
SANDIEGO,2006Q1,"$740,641","$138,611","$602,030",81.3%,2.342,2.838
SANDIEGO,2006Q2,"$735,983","$141,263","$594,719",80.8%,2.327,2.805
SANDIEGO,2006Q3,"$720,858","$143,975","$576,883",80.0%,2.279,2.725
SANDIEGO,2006Q4,"$710,392","$146,533","$563,859",79.4%,2.246,2.667
SANDIEGO,2007Q1,"$703,345","$149,230","$554,115",78.8%,2.224,2.628
SANDIEGO,2007Q2,"$684,909","$151,339","$533,570",77.9%,2.166,2.536
SANDIEGO,2007Q3,"$658,502","$153,647","$504,855",76.7%,2.082,2.404
SANDIEGO,2007Q4,"$617,129","$156,521","$460,608",74.6%,1.951,2.198
SANDIEGO,2008Q1,"$571,146","$160,487","$410,659",71.9%,1.806,1.966
SANDIEGO,2008Q2,"$525,802","$164,312","$361,489",68.8%,1.663,1.734
SANDIEGO,2008Q3,"$488,909","$167,640","$321,269",65.7%,1.546,1.544
SANDIEGO,2008Q4,"$457,962","$169,785","$288,177",62.9%,1.448,1.387
SANDIEGO,2009Q1,"$438,219","$170,203","$268,015",61.2%,1.386,1.291
SANDIEGO,2009Q2,"$430,023","$169,616","$260,407",60.6%,1.360,1.256
SANDIEGO,2009Q3,"$444,833","$168,663","$276,169",62.1%,1.407,1.334
SANDIEGO,2009Q4,"$458,994","$168,043","$290,951",63.4%,1.451,1.407
SANDIEGO,2010Q1,"$473,647","$167,709","$305,938",64.6%,1.498,1.478
SANDIEGO,2010Q2,"$480,428","$168,992","$311,436",64.8%,1.519,1.507
SANDIEGO,2010Q3,"$476,349","$171,014","$305,335",64.1%,1.506,1.481
SANDIEGO,2010Q4,"$470,266","$173,512","$296,754",63.1%,1.487,1.443
SANDIEGO,2011Q1,"$464,547","$176,913","$287,633",61.9%,1.469,1.407
SANDIEGO,2011Q2,"$456,331","$179,495","$276,836",60.7%,1.443,1.359
SANDIEGO,2011Q3,"$449,963","$181,828","$268,134",59.6%,1.423,1.321
SANDIEGO,2011Q4,"$446,700","$183,826","$262,874",58.8%,1.412,1.299
SANDIEGO,2012Q1,"$445,904","$185,315","$260,589",58.4%,1.410,1.290
SANDIEGO,2012Q2,"$451,034","$186,827","$264,207",58.6%,1.426,1.312
SANDIEGO,2012Q3,"$460,694","$188,484","$272,210",59.1%,1.457,1.355
SANDIEGO,2012Q4,"$481,922","$190,569","$291,353",60.5%,1.524,1.454
SANDIEGO,2013Q1,"$493,076","$193,238","$299,838",60.8%,1.559,1.500
SANDIEGO,2013Q2,"$527,531","$196,192","$331,339",62.8%,1.668,1.662
